0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,3.23,5.48,9.13,15.16,22.75,30.89,41.14,52.37,63.74,75.26,87.19,98.56,108.52,117.78,126.61,132.51,137.7,142.19,144.29,146.12,147.8,148.36,148.5,148.5,148.5,149.2,150.05,151.03,152.99,157.46,163.05,170.04,179.12,189.33,200.24,212.41,224.44,236.47,248.21,259.27,270.04,280.67,288.22,294.37,299.97,305.14,308.08,309.2,309.48,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62,309.62
5000,5763,5801,5841,5881,5921,5961,6001,6041,6081,6121,6161,6202,6242,6282,6322,6362,6402,6441,6481,6521,6561,6601,6641,6681,6722,6762,6802,6842,6882,6922,6962,7002,7042,7081,7121,7161,7201,7242,7282,7322,7362,7402,7442,7482,7522,7562,7602,7642,7682,7721,7762,7802,7842,7882,7922,7962,8002,8042,8082,8122,8162,8202,8242,8283,8323,8363,8402,8442,8482,8522,8562,8602,8642,8682,8722,8763,8803,8843,8883,8923,8963,9003,9042,9082,9122,9162,9202,9242,9283,9323,9363,9403,9443,9483,9523,9563,9603,9643,9682,9722,9762,9803,9843,9883,9923,9963,10003,10043,10083,10123,10163,10203,10243,10283,10323,10363,10403,10443,10483,10523,10563,10603,10643,10683,10723,10763,10803,10844,10884,10924,10963,11003,11043,11083,11123,11163,11203,11243,11283,11324,11364,11404,11444,11484,11524,11564,11603,11643,11683,11723
0,0,-1.54,-5.05,-9.41,-13.76,-17.97,-22.61,-27.52,-32.71,-38.47,-43.67,-49.14,-54.48,-59.67,-65.15,-70.48,-75.82,-81.29,-86.63,-91.96,-97.16,-102.64,-107.97,-113.16,-118.5,-124.12,-129.59,-134.79,-140.12,-145.46,-150.65,-156.13,-161.6,-166.94,-172.42,-177.75,-182.95,-188.42,-193.9,-198.95,-204.43,-209.9,-215.24,-220.57,-225.77,-230.82,-235.88,-241.35,-246.69,-251.88,-257.36,-262.7,-268.03,-273.23,-278.56,-284.18,-289.65,-294.99,-300.32,-305.66,-307.2,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.62,-307.48,-307.48,-307.48,-307.48,-307.48,-307.48
5000,7351,7388,7428,7468,7507,7547,7587,7627,7667,7707,7747,7788,7828,7868,7908,7948,7988,8028,8068,8108,8147,8187,8227,8267,8308,8348,8388,8428,8468,8508,8548,8588,8628,8668,8708,8748,8787,8828,8868,8908,8948,8988,9028,9068,9108,9148,9188,9228,9268,9308,9349,9389,9428,9468,9508,9548,9588,9628,9668,9708,9748,9788,9829,9869,9909,9949,9989,10029,10068,10108,10148,10188,10228,10268,10308,10349,10389,10429,10469,10509,10549,10589,10629,10669,10708,10748,10788,10828,10869,10909,10949,10989,11029,11069,11109,11149,11189,11229,11269,11309,11348,11389,11429,11469,11509,11549,11589,11629,11669,11709,11749,11789,11829,11869,11910,11950,11990,12029,12069,12109,12149,12189,12229,12269,12309,12349,12390,12430,12470,12510,12550,12590,12630,12669,12709,12749,12789,12829,12869,12910,12950,12990,13030,13070,13110,13150,13190,13230,13270,13309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.28,0.42,0.56,2.81,6.18,10.53,17.27,26.25,36.5,48.02,60.93,74.41,88.03,100.25,112.18,123.27,131,137.87,143.91,147,148.54,149.67,149.81,149.81,149.81,149.81,149.81,149.81,149.81,150.51,153.18,157.11,161.46,167.35,175.07,184.34,194.17,205.12,216.63,228.7,241.2,253.83,265.62,276.99,287.94,299.03,308.44,316.44,323.74,330.62,334.69,337.78,340.45,342.83,343.4,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.54,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4,343.4
5000,5437,5476,5516,5556,5596,5636,5676,5715,5755,5795,5835,5875,5916,5956,5996,6036,6076,6116,6156,6196,6236,6276,6316,6355,6396,6436,6476,6516,6556,6596,6636,6676,6716,6756,6796,6836,6876,6917,6957,6996,7036,7076,7116,7156,7196,7236,7276,7316,7356,7396,7437,7477,7517,7557,7597,7636,7676,7716,7756,7796,7836,7876,7916,7957,7997,8037,8077,8117,8157,8197,8237,8276,8316,8356,8396,8436,8477,8517,8557,8597,8637,8677,8717,8757,8797,8837,8877,8916,8957,8997,9037,9077,9117,9157,9197,9237,9277,9317,9357,9397,9437,9478,9518,9558,9597,9637,9677,9717,9757,9797,9837,9877,9917,9957,9998,10038,10078,10118,10158,10198,10237,10277,10317,10357,10397,10437,10477,10518,10558,10598,10638,10678,10718,10758,10798,10838,10877,10917,10957,10997,11038,11078,11118,11158,11198,11238,11278,11318,11358,11398
0,0,-1.68,-5.19,-9.41,-13.62,-17.83,-22.75,-27.66,-33.56,-39.03,-44.23,-49.7,-55.04,-60.65,-66.13,-71.6,-77.08,-82.28,-87.61,-93.09,-98.42,-103.76,-109.23,-114.71,-120.18,-125.38,-130.71,-136.19,-141.25,-146.3,-151.35,-156.97,-162.03,-167.36,-172.84,-178.03,-183.23,-188.56,-194.04,-199.37,-204.71,-210.04,-215.38,-220.85,-226.19,-231.52,-236.72,-242.2,-247.39,-252.73,-258.2,-263.26,-268.73,-274.21,-279.54,-284.88,-290.35,-295.41,-300.74,-305.94,-307.76,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.9,-307.76,-307.76,-307.76,-307.62,-307.48,-307.48,-307.48,-307.48,-307.48,-307.48,-307.48,-307.48,-307.48
5000,7351,7388,7428,7468,7507,7547,7587,7627,7667,7707,7747,7788,7828,7868,7908,7948,7988,8028,8068,8108,8147,8187,8227,8267,8308,8348,8388,8428,8468,8508,8548,8588,8628,8668,8708,8748,8787,8828,8868,8908,8948,8988,9028,9068,9108,9148,9188,9228,9268,9308,9349,9389,9428,9468,9508,9548,9588,9628,9668,9708,9748,9788,9829,9869,9909,9949,9989,10029,10068,10108,10148,10188,10228,10268,10308,10349,10389,10429,10469,10509,10549,10589,10629,10669,10708,10748,10788,10828,10869,10909,10949,10989,11029,11069,11109,11149,11189,11229,11269,11309,11348,11389,11429,11469,11509,11549,11589,11629,11669,11709,11749,11789,11829,11869,11910,11950,11990,12029,12069,12109,12149,12189,12229,12269,12309,12349,12390,12430,12470,12510,12550,12590,12630,12669,12709,12749,12789,12829,12869,12910,12950,12990,13030,13070,13110,13150,13190,13230,13270,13309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,6.32,11.23,17.55,26.25,37.2,48.44,60.65,73.85,87.32,98.98,110.07,119.62,126.78,132.95,136.6,138.57,139.97,140.82,140.82,140.82,141.24,141.66,142.5,144.47,146.99,151.2,156.67,163.41,171.41,180.39,190.49,200.31,210.7,220.52,228.8,237.07,243.53,249,253.91,257.84,260.93,263.74,265.84,266.96,268.37,269.91,272.01,274.81,278.32,282.52,287.98,294.56,301.28,307.86,314.3,319.33,323.39,326.89,328.01,328.15,328.01,328.01,328.01,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87,327.87
5000,5439,5476,5516,5556,5596,5636,5676,5715,5755,5795,5836,5876,5916,5956,5996,6036,6076,6116,6156,6196,6236,6276,6316,6356,6396,6436,6476,6516,6556,6596,6636,6676,6716,6756,6796,6836,6877,6917,6957,6996,7036,7076,7116,7156,7196,7236,7276,7316,7356,7397,7437,7477,7517,7557,7597,7636,7676,7716,7756,7796,7836,7877,7917,7957,7997,8037,8077,8117,8157,8197,8237,8276,8316,8356,8397,8437,8477,8517,8557,8597,8637,8677,8717,8757,8797,8837,8877,8918,8957,8997,9037,9077,9117,9157,9197,9237,9277,9317,9357,9397,9438,9478,9518,9558,9597,9637,9677,9717,9757,9797,9837,9877,9917,9958,9998,10038,10078,10118,10158,10198,10237,10277,10317,10357,10397,10438,10478,10518,10558,10598,10638,10678,10718,10758,10798,10838,10877,10917,10958,10998,11038,11078,11118,11158,11198,11238,11278,11318,11358,11398
