0,0,0,0,0,0,0,0,0,0,0.28,0.84,1.26,1.4,2.25,3.09,4.21,5.33,6.88,9.41,12.49,15.86,19.23,22.88,26.81,30.45,33.12,35.51,37.47,39.15,40.42,40.98,40.84,40.84,40.84,40.84,40.84,40.56,40,39.57,39.29,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.87,38.73,38.31,37.75,37.33,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,37.19,38.03,41.12,45.19,50.11,55.3,60.63,66.39,72.15,78.04,83.52,89.42,95.31,103.74,115.95,130.69,146.84,163.55,180.54,197.53,215.08,232.35,249.34,265.9,282.19,298.48,314.48,328.53,334.84,338.35,341.58,342.43,340.18,336.95,333.02,328.81,324.59,320.1,315.61,310.97,306.34,301.85,297.21,292.58,288.09,284.86,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,284.44,289.07,296.79,306.48,317.43,328.38,339.48,350.43,361.52,372.47,383.7,394.65,405.6,416.55,426.24,429.47,429.61,429.19,429.19
5000,10216,10253,10293,10333,10373,10413,10452,10492,10532,10573,10613,10653,10693,10733,10773,10813,10853,10893,10933,10973,11013,11054,11094,11133,11173,11213,11253,11293,11333,11373,11413,11453,11493,11533,11574,11614,11654,11694,11734,11773,11813,11853,11893,11933,11973,12013,12053,12094,12134,12174,12214,12254,12294,12334,12374,12413,12453,12493,12533,12573,12614,12654,12694,12734,12774,12814,12854,12894,12934,12974,13014,13053,13093,13134,13174,13214,13254,13294,13334,13374,13414,13454,13494,13534,13574,13615,13655,13694,13734,13774,13814,13854,13894,13934,13974,14014,14054,14094,14135,14175,14215,14255,14295,14334,14374,14414,14454,14494,14534,14574,14614,14655,14695,14735,14775,14815,14855,14895,14935,14974,15014,15054,15094,15134,15175,15215,15255,15295,15335,15375,15415,15455,15495,15535,15575,15614,15654,15695,15735,15775,15815,15855,15895,15935,15975,16015,16055,16095,16135,16176,20000
0,0,-1.54,-5.05,-8.14,-12.07,-16.85,-21.62,-26.82,-32.01,-37.35,-42.54,-47.73,-53.07,-58.55,-63.74,-69.08,-74.41,-79.89,-84.94,-90.14,-95.19,-100.38,-105.72,-111.06,-116.53,-121.59,-126.78,-131.98,-137.31,-142.79,-147.84,-153.18,-158.51,-163.99,-169.32,-174.38,-179.57,-184.49,-189.82,-195.02,-200.07,-205.27,-210.6,-215.94,-221.13,-226.19,-231.52,-236.58,-241.63,-246.83,-252.02,-257.36,-262.55,-267.75,-272.8,-278.14,-283.33,-288.39,-293.3,-298.36,-303.55,-308.46,-309.73,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.59,-309.31,-309.31,-309.31,-309.31,-309.31,-309.31,-309.31,-309.31
5000,12350,12387,12428,12468,12508,12548,12588,12627,12667,12707,12747,12787,12827,12867,12907,12948,12988,13028,13068,13108,13148,13188,13228,13267,13307,13347,13387,13428,13468,13508,13548,13588,13628,13668,13708,13748,13788,13828,13868,13907,13948,13988,14028,14068,14108,14148,14188,14228,14268,14308,14348,14388,14428,14469,14509,14548,14588,14628,14668,14708,14748,14788,14828,14868,14908,14948,14989,15029,15069,15109,15149,15188,15228,15268,15308,15348,15388,15428,15468,15509,15549,15589,15629,15669,15709,15749,15789,15828,15868,15908,15948,15989,16029,16069,16109,16149,16189,16229,16269,16309,16349,16389,16429,16468,16509,16549,16589,16629,16669,16709,16749,16789,16829,16869,16909,16949,16989,17030,17070,17110,17149,17189,17229,17269,17309,17349,17389,17429,17469,17509,17550,17590,17630,17670,17710,17750,17789,17829,17869,17909,17949,17989,18029,18070,18110,18150,18190,18230,18270,18310,20000
0,0,0,0,0,0,0,0,0,0,0,0.56,2.67,5.76,9.41,13.76,18.11,22.61,27.38,32.15,36.79,41.7,47.88,54.9,62.34,70.2,78.07,86.07,94.07,101.93,109.94,117.94,126.79,136.19,145.46,155.15,165.25,174.94,184.91,194.73,202.74,209.76,216.35,222.67,228.29,233.62,236.43,236.71,236.71,236.71,236.71,236.71,236.71,236.71,236.29,236.29,236.29,236.29,236.29,236.29,236.29,236.29,236.29,236.29,236.29,237.69,240.08,243.45,246.96,250.61,254.4,258.33,262.4,266.47,270.4,274.47,278.54,282.33,291.03,304.51,320.79,338.48,356.58,375.2,393.64,408.68,420.91,426.88,425.35,422.29,415.06,406.02,396.7,387.4,378.24,368.53,360.49,353,345.79,339.01,332.22,325.85,321.56,317.69,314.5,311.73,308.82,305.92,303.01,300.38,297.62,296.65,296.93,297.48,298.17,298.72,299.26,299.81,300.35,301.16,301.97,302.64,304.37,309.79,317.84,326.83,336.64,347,357.25,367.77,378.02,387.75,397.09,406.03,408.7,408.43,407.9,404.84,400.19,395.29,389.99,384.7,378.62,373.33,368.3,363.28,358.4,353.52,349.43,346.27,343.37,343.37
5000,11124,11163,11203,11243,11283,11323,11363,11403,11443,11483,11524,11564,11603,11643,11683,11723,11763,11803,11843,11883,11923,11963,12003,12044,12084,12124,12164,12204,12243,12283,12323,12363,12403,12443,12483,12524,12564,12604,12644,12684,12724,12764,12804,12844,12883,12923,12963,13003,13044,13084,13124,13164,13204,13244,13284,13324,13364,13404,13444,13484,13523,13564,13604,13644,13684,13724,13764,13804,13844,13884,13924,13964,14004,14044,14085,14125,14164,14204,14244,14284,14324,14364,14404,14444,14484,14524,14564,14605,14645,14685,14725,14765,14804,14844,14884,14924,14964,15004,15044,15085,15125,15165,15205,15245,15285,15325,15365,15405,15444,15484,15524,15564,15605,15645,15685,15725,15765,15805,15845,15885,15925,15965,16005,16045,16084,16125,16165,16205,16245,16285,16325,16365,16405,16445,16485,16525,16565,16605,16646,16686,16726,16765,16805,16845,16885,16925,16965,17005,17045,17085,20000
0,0,-1.68,-4.77,-8,-11.93,-16.85,-21.48,-26.54,-31.59,-36.65,-41.84,-47.18,-52.51,-57.71,-63.04,-68.1,-73.15,-78.35,-83.4,-88.59,-93.65,-98.84,-104.46,-109.94,-115.27,-120.18,-125.38,-130.57,-135.49,-140.68,-146.02,-151.21,-156.13,-161.18,-166.24,-171.29,-176.2,-181.54,-186.74,-191.79,-196.98,-202.18,-207.37,-212.57,-217.76,-222.82,-228.15,-233.35,-238.54,-243.74,-248.93,-254.13,-259.46,-264.8,-270,-275.05,-280.25,-285.44,-290.35,-295.55,-300.6,-305.66,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92,-306.92
5000,11351,11387,11427,11467,11507,11547,11587,11627,11667,11707,11747,11787,11827,11868,11908,11948,11987,12027,12067,12107,12147,12187,12227,12267,12307,12347,12388,12428,12468,12508,12548,12588,12627,12667,12707,12747,12787,12827,12867,12908,12948,12988,13028,13068,13108,13148,13188,13228,13267,13307,13347,13387,13428,13468,13508,13548,13588,13628,13668,13708,13748,13788,13828,13868,13907,13948,13988,14028,14068,14108,14148,14188,14228,14268,14308,14348,14388,14429,14469,14509,14548,14588,14628,14668,14708,14748,14788,14828,14868,14908,14949,14989,15029,15069,15109,15149,15188,15228,15268,15308,15348,15388,15428,15469,15509,15549,15589,15629,15669,15709,15749,15789,15828,15868,15908,15948,15989,16029,16069,16109,16149,16189,16229,16269,16309,16349,16389,16429,16468,16509,16549,16589,16629,16669,16709,16749,16789,16829,16869,16909,16949,16990,17030,17070,17110,17149,17189,17229,17269,17309,20000
0,0,0,0,0,0,0,0,0,0,0,1.68,4.63,8.14,12.07,16.28,21.06,25.69,30.46,35.65,40.56,46.18,51.51,57.13,62.46,64.99,65.83,66.11,66.11,65.69,63.86,61.76,59.37,56.71,53.76,49.83,45.48,41.27,36.78,32.01,27.38,23.74,20.51,17.42,14.9,12.23,9.29,6.62,3.68,3.26,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.68,6.06,9.99,14.47,19.51,24.41,29.87,35.33,40.93,46.39,52.13,57.46,66.84,78.89,92.77,107.34,122.47,137.74,153.29,168.7,184.12,198.83,212.55,226.14,239.3,252.33,258.07,259.47,259.89,259.75,257.09,253.31,248.56,244.08,239.46,235.13,231.21,227.44,223.94,220.31,216.67,212.9,209.26,205.63,201.72,198.36,197.94,199.34,201.3,203.53,205.62,207.43,209.66,211.76,213.85,216.07,218.16,220.39,222.47,224.42,228.3,240.08,256.54,274.85,293.81,312.59,330.77,347.67,363.59,377.75,390.45,401.55,411.1,418.77,424.37,428.21,430.43,430.88,429.8,427.03,422.58,416.44,408.83,399.65,389.05,376.88,363.46,348.73,332.79,315.86,299.67,288.65,280.07,280.07
5000,10452,10490,10530,10570,10610,10650,10690,10730,10770,10810,10850,10890,10930,10970,11011,11051,11090,11130,11170,11210,11250,11290,11330,11370,11410,11450,11490,11531,11571,11611,11651,11691,11730,11770,11810,11850,11890,11930,11970,12010,12051,12091,12131,12171,12211,12251,12291,12331,12370,12410,12450,12490,12530,12571,12611,12651,12691,12731,12771,12811,12851,12891,12931,12971,13010,13051,13091,13131,13171,13211,13251,13291,13331,13371,13411,13451,13491,13531,13572,13612,13651,13691,13731,13771,13811,13851,13891,13931,13971,14011,14051,14092,14132,14172,14212,14252,14291,14331,14371,14411,14451,14491,14531,14571,14612,14652,14692,14732,14772,14812,14852,14892,14931,14971,15011,15051,15091,15132,15172,15212,15252,15292,15332,15372,15412,15452,15492,15532,15571,15612,15652,15692,15732,15772,15812,15852,15892,15932,15972,16012,16052,16092,16133,16173,16212,16252,16292,16332,16372,16412,20000
