0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,2.11,3.65,5.19,7.16,10.81,15.72,21.76,28.22,34.82,41.56,49.42,58.4,68.09,79.04,90.28,100.95,111.76,122.29,132.53,140.53,147.69,153.86,157.93,161.44,164.1,166.07,167.89,169.57,171.4,173.08,175.18,177.98,181.06,184.43,187.79,192.41,197.03,202.07,207.1,212.42,218.29,225,231.43,238.42,245.13,251.84,258.82,265.66,271.93,278.21,284.21,289.92,295.37,300.25,303.74,306.81,308.34,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76,308.76
5000,4898,4935,4975,5015,5055,5095,5135,5175,5215,5255,5295,5335,5374,5414,5455,5495,5535,5575,5615,5655,5695,5735,5775,5815,5855,5895,5936,5976,6016,6055,6095,6135,6175,6215,6255,6295,6335,6375,6415,6456,6496,6536,6576,6616,6656,6695,6735,6775,6815,6855,6895,6935,6976,7016,7056,7096,7136,7176,7216,7256,7296,7335,7375,7415,7455,7496,7536,7576,7616,7656,7696,7736,7776,7816,7856,7896,7936,7975,8016,8056,8096,8136,8176,8216,8256,8296,8336,8376,8416,8456,8497,8537,8577,8616,8656,8696,8736,8776,8816,8856,8896,8936,8976,9017,9057,9097,9137,9177,9217,9256,9296,9336,9376,9416,9456,9496,9537,9577,9617,9657,9697,9737,9777,9817,9857,9896,9936,9976,10016,10057,10097,10137,10177,10217,10257,10297,10337,10377,10417,10457,10497,10536,10577,10617,10657,10697,10737,10777,10817,10857
0,0,-1.68,-5.05,-8.42,-12.5,-16.99,-21.48,-26.4,-31.45,-36.5,-41.42,-46.75,-51.81,-56.86,-62.06,-67.11,-72.45,-77.5,-82.7,-87.75,-93.09,-98,-103.2,-108.25,-113.44,-118.36,-123.55,-128.61,-133.66,-138.86,-144.05,-149.11,-154.02,-158.94,-164.13,-169.18,-174.24,-179.15,-184.63,-189.68,-194.74,-200.07,-205.27,-210.04,-215.24,-220.29,-225.07,-229.98,-235.04,-240.09,-245,-249.78,-254.41,-259.04,-263.95,-269.01,-274.34,-279.11,-284.03,-289.22,-294.41,-299.33,-304.24,-308.59,-309.15,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87,-308.87
5000,6350,6387,6427,6467,6507,6547,6587,6627,6667,6707,6747,6787,6827,6867,6907,6947,6987,7027,7067,7107,7147,7187,7227,7267,7307,7347,7388,7428,7468,7507,7547,7587,7627,7667,7707,7747,7787,7827,7867,7908,7948,7988,8028,8068,8108,8147,8187,8227,8267,8307,8347,8388,8428,8468,8508,8548,8588,8628,8668,8708,8748,8787,8827,8867,8908,8948,8988,9028,9068,9108,9148,9188,9228,9268,9308,9348,9388,9428,9468,9508,9548,9588,9628,9668,9708,9748,9788,9828,9868,9908,9949,9989,10029,10068,10108,10148,10188,10228,10268,10308,10348,10388,10428,10469,10509,10549,10589,10629,10669,10708,10748,10788,10828,10868,10908,10949,10989,11029,11069,11109,11149,11189,11229,11269,11309,11348,11388,11428,11469,11509,11549,11589,11629,11669,11709,11749,11789,11829,11869,11909,11949,11990,12029,12069,12109,12149,12189,12229,12269,12309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42,0.84,1.12,1.4,1.54,2.11,4.35,8,12.06,16.41,21.04,25.95,31,38.44,47.56,57.66,67.91,78.86,89.95,101.04,112.13,123.08,134.02,144.97,154.1,162.52,170.38,175.29,179.5,183.01,185.12,186.8,187.93,189.19,190.31,191.72,193.26,195.22,197.47,199.85,202.66,205.6,209.67,214.3,219.49,224.54,229.87,236.18,243.05,250.49,258.2,265.78,273.78,281.77,290.47,299.02,306.88,313.33,319.22,322.45,324.56,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98,324.98
5000,5089,5128,5168,5208,5248,5287,5327,5367,5407,5447,5487,5528,5568,5608,5648,5688,5728,5768,5808,5848,5888,5927,5967,6007,6048,6088,6128,6168,6208,6248,6288,6328,6368,6408,6448,6488,6529,6568,6608,6648,6688,6728,6768,6808,6848,6888,6928,6968,7008,7049,7089,7129,7169,7208,7248,7288,7328,7368,7408,7448,7488,7528,7569,7609,7649,7689,7729,7769,7809,7848,7888,7928,7968,8008,8048,8089,8129,8169,8209,8249,8289,8329,8369,8409,8449,8488,8528,8568,8609,8649,8689,8729,8769,8809,8849,8889,8929,8969,9009,9049,9090,9129,9169,9209,9249,9289,9329,9369,9409,9449,9489,9529,9569,9610,9650,9690,9730,9769,9809,9849,9889,9929,9969,10009,10049,10089,10130,10170,10210,10250,10290,10330,10370,10409,10449,10489,10529,10569,10609,10650,10690,10730,10770,10810,10850,10890,10930,10970,11010,11049
0,0,-1.4,-4.49,-7.44,-11.23,-15.73,-20.36,-25.41,-30.47,-35.66,-40.72,-45.77,-50.54,-55.74,-60.93,-65.99,-71.32,-76.38,-81.57,-86.77,-91.82,-97.02,-102.21,-107.27,-112.32,-117.66,-122.71,-127.63,-132.82,-137.87,-143.21,-148.4,-153.46,-158.65,-163.71,-168.76,-173.82,-178.59,-183.65,-188.84,-193.89,-199.09,-204,-209.06,-214.11,-219.17,-224.22,-229.56,-234.61,-239.95,-245.14,-250.34,-255.25,-260.45,-265.36,-270.42,-275.19,-280.38,-285.44,-290.77,-295.69,-300.74,-304.95,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8,-305.8
5000,6350,6387,6427,6467,6507,6547,6587,6627,6667,6707,6747,6787,6827,6867,6907,6947,6987,7027,7067,7107,7147,7187,7227,7267,7307,7347,7388,7428,7468,7507,7547,7587,7627,7667,7707,7747,7787,7827,7867,7908,7948,7988,8028,8068,8108,8147,8187,8227,8267,8307,8347,8388,8428,8468,8508,8548,8588,8628,8668,8708,8748,8787,8827,8867,8908,8948,8988,9028,9068,9108,9148,9188,9228,9268,9308,9348,9388,9428,9468,9508,9548,9588,9628,9668,9708,9748,9788,9828,9868,9908,9949,9989,10029,10068,10108,10148,10188,10228,10268,10308,10348,10388,10428,10469,10509,10549,10589,10629,10669,10708,10748,10788,10828,10868,10908,10949,10989,11029,11069,11109,11149,11189,11229,11269,11309,11348,11388,11428,11469,11509,11549,11589,11629,11669,11709,11749,11789,11829,11869,11909,11949,11990,12029,12069,12109,12149,12189,12229,12269,12309
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.98,2.39,3.79,5.19,6.74,8.84,10.95,13.19,17.68,23.86,31.15,39.01,47,55.42,63.42,71.84,81.1,92.75,105.66,119.69,133.86,148.32,161.08,172.87,184.1,191.54,197.01,201.08,203.05,204.59,205.29,205.58,205.72,205.72,205.72,205.72,205.72,206,207.82,209.92,212.45,215.26,218.2,222.41,227.6,233.64,239.67,245.84,252.3,259.31,267.59,276.43,285.55,294.81,303.23,311.51,317.68,322.31,325.12,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82,325.82
5000,5248,5287,5327,5367,5407,5447,5487,5527,5567,5607,5647,5688,5728,5768,5808,5848,5888,5927,5967,6007,6047,6087,6127,6167,6208,6248,6288,6328,6368,6408,6448,6488,6528,6567,6607,6647,6688,6728,6768,6808,6848,6888,6928,6968,7008,7048,7088,7128,7168,7208,7248,7288,7328,7368,7408,7448,7488,7528,7568,7608,7648,7688,7729,7769,7809,7848,7888,7928,7968,8008,8048,8088,8128,8168,8208,8249,8289,8329,8369,8409,8449,8488,8528,8568,8608,8648,8688,8728,8769,8809,8849,8889,8929,8969,9009,9049,9089,9128,9168,9208,9249,9289,9329,9369,9409,9449,9489,9529,9569,9609,9649,9689,9729,9769,9809,9849,9889,9929,9969,10009,10049,10089,10129,10169,10209,10249,10290,10330,10370,10409,10449,10489,10529,10569,10609,10649,10689,10729,10769,10810,10850,10890,10930,10970,11010,11049,11089,11129,11169,11209
