0,0,32440,11068,11068,11228,33660,2136,1456
0,0,32432,11064,11064,11224,33656,2132,1452
0,0,32440,11068,11068,11228,33660,2136,1464
0,0,32440,11020,11072,11228,33660,2136,1456
0,0,32440,11068,11068,11224,33660,2132,1456
0,0,32432,11060,11060,11220,33656,2136,1456
0,0,32388,11068,11068,11228,33604,2136,1464
0,0,32380,11016,11068,11228,33548,2132,1456
0,0,32388,11020,11072,11228,33496,2140,1460
0,0,32332,11016,11068,11224,33444,2132,1464
0,0,32328,11020,11072,11228,33384,2136,1456
0,0,32340,11020,11072,11232,33392,2140,1468
0,0,32332,11016,11068,11228,33384,2132,1460
0,0,32340,11020,11072,11228,33340,2140,1468
0,0,32392,11016,11072,11232,33444,2136,1464
0,0,32380,11012,11064,11220,33432,2132,1452
0,0,32388,11020,11072,11228,33500,2136,1460
0,0,32392,11020,11072,11228,33448,2136,1468
0,0,32392,11020,11072,11228,33384,2136,1460
0,0,32332,11020,11068,11228,33440,2132,1460
0,2,34404,5660,5452,5396,31188,1676,900
0,2,34348,5656,5448,5396,31188,1768,896
0,2,34352,5656,5440,5388,31128,1672,900
0,2,34300,5664,5452,5400,31140,1676,900
0,2,34240,5660,5448,5396,31084,1676,900
0,2,33916,5656,5444,5392,30864,1676,904
0,2,33768,5608,5400,5340,30380,1672,900
0,2,33820,5612,5404,5352,30600,1676,900
0,2,33920,5604,5396,5340,30652,1672,900
0,2,33972,5660,5444,5392,30752,1672,904
0,2,34024,5612,5448,5392,30812,1676,900
0,2,34020,5656,5444,5392,30860,1672,900
0,2,33980,5612,5396,5396,30812,1676,900
0,2,34024,5660,5444,5392,30864,1672,904
0,2,33968,5656,5448,5388,30808,1668,900
0,2,33964,5652,5444,5392,30804,1664,988
0,2,33916,5656,5444,5392,30812,1672,904
0,2,33896,5656,5444,5392,31400,1668,892
0,2,33916,5660,5448,5396,30756,1676,900
0,2,33976,5608,5400,5348,30816,1676,904
0,4,71844,17556,17504,16276,59816,7096,2956
0,4,71908,17556,17504,16276,59768,7096,2956
0,4,71964,17556,17500,16276,59820,7100,2956
0,4,71892,17548,17496,16264,59804,7532,2952
0,4,71844,17556,17504,16280,59816,7096,2956
0,4,71844,17560,17508,16276,59876,7096,2956
0,4,71840,17552,17500,16276,59864,7096,2952
0,4,71792,17504,17504,16276,59820,7096,2956
0,4,71796,17560,17508,16284,59820,7052,2956
0,4,71832,17540,17488,16256,59856,7528,2948
0,4,71856,17568,17516,16284,59824,7100,2956
0,4,71848,17552,17500,16276,59816,7096,2956
0,4,71848,17560,17508,16276,59876,7100,2956
0,4,71792,17560,17508,16272,59820,7044,2948
0,4,71576,17556,17504,16280,59656,7096,2952
0,4,71776,17548,17496,16272,59972,7092,3140
0,4,73172,17556,17500,16272,59976,7100,2952
0,4,71732,17560,17504,16280,59976,7104,2956
0,4,71780,17552,17500,16276,59980,7096,2956
0,4,71784,17556,17500,16276,60092,7096,2956
0,6,112880,37200,37832,34496,91268,16824,5944
0,6,112768,37200,37776,34444,91320,16828,5940
0,6,112768,37200,37780,34496,91320,16824,5944
0,6,112772,37196,37780,34492,91376,16828,5940
0,6,111432,37080,37656,35084,91144,16828,5944
0,6,108900,36368,36892,33556,86168,16632,5900
0,6,108788,36324,36844,33560,86292,16640,5900
0,6,108880,36360,36892,33548,86648,16632,5892
0,6,108880,36316,36840,33552,86712,16632,5896
0,6,109048,36368,36896,33560,86600,16640,5900
0,6,109748,36256,36788,33496,85572,16680,5892
0,6,107804,36316,36792,33508,85744,16636,5900
0,6,109144,36564,37144,33804,88528,16740,5900
0,6,111980,37252,37884,34548,91748,16836,5948
0,6,112308,37244,37880,34588,91748,16876,5944
0,6,113688,37392,38024,34688,93452,16876,5988
0,6,113692,37404,37976,34692,93464,16884,5948
0,6,113696,37348,37976,34688,93352,16880,5944
0,6,112380,37244,37828,34496,91424,16824,5944
0,6,113752,37348,37984,34688,93356,16876,5944
0,8,143772,55288,56392,51456,110956,26948,8788
0,8,143872,55340,56444,51508,111060,26944,8788
0,8,144764,55188,56348,51468,111668,26908,8748
0,8,144684,55292,56448,51616,112040,26900,8796
0,8,144576,55236,56392,51512,111880,26900,8792
0,8,144588,55188,56396,51516,111720,26908,8748
0,8,144756,55288,56396,51460,111716,26952,8796
0,8,144680,55440,56596,51608,111704,26948,8792
0,8,144616,55492,56648,51656,111912,26948,8792
0,8,144344,55436,56644,51652,111804,28636,8788
0,8,144348,55384,56648,51656,111648,26948,8788
0,8,144352,55388,56544,51656,111756,26948,8796
0,8,144236,55388,56592,51608,111812,26956,8796
0,8,144400,55392,56652,51660,111920,26952,8796
0,8,144500,55436,56696,51708,112068,26948,8796
0,8,144504,55436,56644,51704,112016,26948,8788
0,8,144232,55384,56588,51656,111860,26996,8796
0,8,144180,55384,56588,51648,111808,26948,8788
0,8,144076,55392,56600,51608,111704,26956,8796
0,8,144028,55340,56600,51560,111548,26948,8796
0,10,165284,70256,71884,65964,125376,36640,11364
0,10,165348,70160,71788,65972,125384,36596,11360
0,10,164688,70160,71792,65972,125168,36596,11316
0,10,163528,69952,71688,65972,125396,36552,11364
0,10,163440,69908,71588,65924,124808,36504,11316
0,10,163480,69764,71340,65628,124076,36504,11320
0,10,163044,69648,71216,65504,123408,38712,11312
0,10,162584,69508,71140,65368,122840,38332,11312
0,10,159996,69124,70812,65088,122032,36312,11268
0,10,159060,68828,70460,64744,120656,36212,11268
0,10,158772,68528,70156,64540,120080,36164,11268
0,10,158792,68472,70108,64444,119656,36116,11264
